"cus_id","first_name","last_name","country","amount_spent","country_rank"
56,"Diego                                             ","Gutiérrez                                         ","Argentina","39.599999999999994","1"
55,"Mark                                              ","Taylor                                            ","Australia","81.17999999999995","1"
7,"Astrid                                            ","Gruber                                            ","Austria","69.30000000000001","1"
8,"Daan                                              ","Peeters                                           ","Belgium","60.390000000000036","1"
1,"Luís                                              ","Gonçalves                                         ","Brazil","108.8999999999998","1"
3,"François                                          ","Tremblay                                          ","Canada","99.98999999999985","1"
57,"Luis                                              ","Rojas                                             ","Chile","97.01999999999987","1"
5,"R                                                 ","Madhav                                            ","Czech Republic","144.53999999999985","1"
9,"Kara                                              ","Nielsen                                           ","Denmark","37.61999999999999","1"
44,"Terhi                                             ","Hämäläinen                                        ","Finland","79.19999999999996","1"
42,"Wyatt                                             ","Girard                                            ","France","99.98999999999985","1"
37,"Fynn                                              ","Zimmermann                                        ","Germany","94.04999999999988","1"
45,"Ladislav                                          ","Kovács                                            ","Hungary","78.20999999999997","1"
58,"Manoj                                             ","Pareek                                            ","India","111.86999999999979","1"
46,"Hugh                                              ","O'Reilly                                          ","Ireland","114.83999999999978","1"
47,"Lucas                                             ","Mancini                                           ","Italy","50.490000000000016","1"
48,"Johannes                                          ","Van der Berg                                      ","Netherlands","65.34000000000003","1"
4,"Bjørn                                             ","Hansen                                            ","Norway","72.27","1"
49,"Stanisław                                         ","Wójcik                                            ","Poland","76.22999999999998","1"
34,"João                                              ","Fernandes                                         ","Portugal","102.95999999999984","1"
50,"Enrique                                           ","Muñoz                                             ","Spain","98.00999999999986","1"
51,"Joakim                                            ","Johansson                                         ","Sweden","75.23999999999998","1"
53,"Phil                                              ","Hughes                                            ","United Kingdom","98.00999999999986","1"
17,"Jack                                              ","Smith                                             ","USA","98.00999999999986","1"
